href	name	page views
Dizzy_Gillespie	Dizzy Gillespie	164177
Charlie_Parker	Charlie Parker	287788
Ambient_music	Ambient music	148188
Peter_Gabriel	Peter Gabriel	490837
Prince_(musician)	Prince (musician)	1642187
Yehudi_Menuhin	Yehudi Menuhin	82772
Bassist	Bassist	24006
Tony_Williams_(drummer)	Tony Williams (drummer)	49277
Beatnik	Beatnik	189433
Talk:Wah-wah_(music)	Talk:Wah-wah (music)	98
Modal_jazz	Modal jazz	55392
St._Albans,_Queens	St. Albans, Queens	20017
Benjamin_Britten	Benjamin Britten	107798
Glenn_Miller	Glenn Miller	264633
Pierre_Boulez	Pierre Boulez	76112
Count_Basie	Count Basie	127937
Andr%C3%A9s_Segovia	Andrés Segovia	56943
Jack_Johnson_(boxer)	Jack Johnson (boxer)	247731
Jean-Pierre_Rampal	Jean-Pierre Rampal	13690
Eric_Dolphy	Eric Dolphy	45296
Kielce	Kielce	25997
Jeff_Noon	Jeff Noon	7197
Wilco	Wilco	270342
Michael_Nyman	Michael Nyman	48172
Boris_Vian	Boris Vian	32700
Motherfucker	Motherfucker	169780
Sting_(musician)	Sting (musician)	792164
Thelonious_Monk	Thelonious Monk	204084
Larry_Graham	Larry Graham	94761
OK_Computer	OK Computer	214926
Salsa_music	Salsa music	97415
Nick_Cave	Nick Cave	605579
Amon_Tobin	Amon Tobin	46819
Blue_Note_Records	Blue Note Records	40354
Industrial_music	Industrial music	109021
Don_DeLillo	Don DeLillo	92021
Arvo_P%C3%A4rt	Arvo Pärt	114189
Alex_Haley	Alex Haley	153199
The_Byrds	The Byrds	254152
Free_jazz	Free jazz	55994
Paul_Whiteman	Paul Whiteman	38169
Paul_Shaffer	Paul Shaffer	173492
Switchfoot	Switchfoot	141415
J._J._Johnson	J. J. Johnson	29818
List_of_Rock_and_Roll_Hall_of_Fame_inductees	List of Rock and Roll Hall of Fame inductees	294246
Parliament-Funkadelic	Parliament-Funkadelic	102680
Washington,_D.C.	Washington, D.C.	1487109
Alton,_Illinois	Alton, Illinois	45646
East_St._Louis,_Illinois	East St. Louis, Illinois	112623
Millstadt,_Illinois	Millstadt, Illinois	4232
Public_Image_Ltd	Public Image Ltd	192756
The_Piano	The Piano	168101
Alfred_Brendel	Alfred Brendel	20556
Sviatoslav_Richter	Sviatoslav Richter	44858
Jerry_Maguire	Jerry Maguire	382374
Shine_(film)	Shine (film)	111371
Yo-Yo_Ma	Yo-Yo Ma	710251
Simon_Rattle	Simon Rattle	45888
List_of_people_on_the_postage_stamps_of_the_United_States	List of people on the postage stamps of the United States	11565
Gy%C3%B6rgy_Ligeti	György Ligeti	66834
Michel_Legrand	Michel Legrand	69465
Talk:Mouthpiece	Talk:Mouthpiece	122
Olivier_Messiaen	Olivier Messiaen	74250
Carlos_Santana	Carlos Santana	384233
Rollins_Band	Rollins Band	48210
Jaco_Pastorius	Jaco Pastorius	280902
Warren_DeMartini	Warren DeMartini	30225
The_Allman_Brothers_Band	The Allman Brothers Band	325633
Polyrhythm	Polyrhythm	75298
Beck	Beck	598587
Talk:Key_(music)	Talk:Key (music)	213
Tiki_Fulwood	Tiki Fulwood	6248
Will-o%27-the-wisp	Will-o'-the-wisp	202731
Ornette_Coleman	Ornette Coleman	103972
Harry_Belafonte	Harry Belafonte	353586
Olympia_(Paris)	Olympia (Paris)	13686
Nikolaus_Harnoncourt	Nikolaus Harnoncourt	20918
List_of_jazz_musicians	List of jazz musicians	86541
Mstislav_Rostropovich	Mstislav Rostropovich	44522
Max_Roach	Max Roach	50028
Bud_Powell	Bud Powell	50176
Charlie_Christian	Charlie Christian	32800
Bill_Evans	Bill Evans	153642
Steely_Dan	Steely Dan	395496
1972_in_music	1972 in music	30998
1973_in_music	1973 in music	32685
1965_in_music	1965 in music	32764
1966_in_music	1966 in music	29368
1969_in_music	1969 in music	36775
1970_in_music	1970 in music	48229
1967_in_music	1967 in music	38485
1968_in_music	1968 in music	28538
Linda_Ronstadt	Linda Ronstadt	554671
1964_in_music	1964 in music	18386
1974_in_music	1974 in music	31327
1976_in_music	1976 in music	34045
1977_in_music	1977 in music	34533
1981_in_music	1981 in music	27444
1983_in_music	1983 in music	33145
1985_in_music	1985 in music	50432
1986_in_music	1986 in music	34547
1991_in_music	1991 in music	35005
1963_in_music	1963 in music	15247
1962_in_music	1962 in music	14068
1961_in_music	1961 in music	10681
1960_in_music	1960 in music	19306
1959_in_music	1959 in music	11240
1958_in_music	1958 in music	10291
1957_in_music	1957 in music	11277
1956_in_music	1956 in music	11144
1945_in_music	1945 in music	13936
1951_in_music	1951 in music	8683
1955_in_music	1955 in music	17167
2003_in_music	2003 in music	27161
Georg_Solti	Georg Solti	40116
1926_in_music	1926 in music	3835
Herbert_Blomstedt	Herbert Blomstedt	6587
Columbia_Records	Columbia Records	235763
Lenny_Kravitz	Lenny Kravitz	1002531
Sly_and_the_Family_Stone	Sly and the Family Stone	168122
Sly_Stone	Sly Stone	146754
Earth,_Wind_%26_Fire	Earth, Wind & Fire	351724
Louis_Jordan	Louis Jordan	60385
Frank_Loesser	Frank Loesser	42292
Celia_Cruz	Celia Cruz	536449
Kool_%26_the_Gang	Kool & the Gang	158675
Sarah_Vaughan	Sarah Vaughan	105524
Hermeto_Pascoal	Hermeto Pascoal	17277
Dexter_Gordon	Dexter Gordon	56238
Trey_Anastasio	Trey Anastasio	141741
Timeline_of_musical_events	Timeline of musical events	57518
13th_Annual_Grammy_Awards	13th Annual Grammy Awards	4166
The_Cosby_Show	The Cosby Show	355978
Kid_A	Kid A	164437
Music_of_the_United_States	Music of the United States	105430
Fishbone	Fishbone	72390
Weather_Report	Weather Report	113046
Cannonball_Adderley	Cannonball Adderley	51068
Gramophone_record	Gramophone record	288210
Alan_Lomax	Alan Lomax	50246
Capitol_Records	Capitol Records	178236
Blondie_(band)	Blondie (band)	379060
James_Baldwin	James Baldwin	301017
Gilberto_Gil	Gilberto Gil	31961
List_of_funk_musicians	List of funk musicians	30605
Burt_Bacharach	Burt Bacharach	385058
Rick_Laird	Rick Laird	5398
Ostinato	Ostinato	97107
Moldejazz	Moldejazz	2104
Valentine%27s_Day	Valentine's Day	305721
Brian_Wilson_Presents_Smile	Brian Wilson Presents Smile	60941
25th_Annual_Grammy_Awards	25th Annual Grammy Awards	6966
Level_42	Level 42	94161
Mark-Anthony_Turnage	Mark-Anthony Turnage	8481
What%27s_Going_On_(Marvin_Gaye_album)	What's Going On (Marvin Gaye album)	104982
Coleman_Hawkins	Coleman Hawkins	37546
Mute_(music)	Mute (music)	30791
Marcus_Miller	Marcus Miller	71871
The_Sun_Don%27t_Lie	The Sun Don't Lie	2504
Marcus_Miller_(album)	Marcus Miller (album)	2394
Suddenly_(Marcus_Miller_album)	Suddenly (Marcus Miller album)	2566
Kind_of_Blue	Kind of Blue	152631
43rd_Annual_Grammy_Awards	43rd Annual Grammy Awards	13300
Congregation_(album)	Congregation (album)	5724
At_Fillmore_East	At Fillmore East	59412
Paul%27s_Boutique	Paul's Boutique	101396
List_of_Grammy_Hall_of_Fame_Award_recipients_(Q%E2%80%93Z)	List of Grammy Hall of Fame Award recipients (Q–Z)	4462
List_of_Grammy_Hall_of_Fame_Award_recipients_(J%E2%80%93P)	List of Grammy Hall of Fame Award recipients (J–P)	5141
List_of_Grammy_Hall_of_Fame_Award_recipients_(A%E2%80%93D)	List of Grammy Hall of Fame Award recipients (A–D)	9211
List_of_Grammy_Hall_of_Fame_Award_recipients_(E%E2%80%93I)	List of Grammy Hall of Fame Award recipients (E–I)	4008
41st_Annual_Grammy_Awards	41st Annual Grammy Awards	11845
List_of_jazz_bassists	List of jazz bassists	25264
Slapping_(music)	Slapping (music)	24448
North_Sea_Jazz_Festival	North Sea Jazz Festival	11388
Quincy_Jones	Quincy Jones	817912
John_Scofield	John Scofield	48835
Keith_Jarrett	Keith Jarrett	86396
Daniel_Barenboim	Daniel Barenboim	113484
Neal_Schon	Neal Schon	147324
Wes_Montgomery	Wes Montgomery	84746
Jackie_McLean	Jackie McLean	23234
Woodlawn_Cemetery_(Bronx,_New_York)	Woodlawn Cemetery (Bronx, New York)	27725
Jazz_rap	Jazz rap	45608
No_More_Mr._Nice_Guy_(Gang_Starr_album)	No More Mr. Nice Guy (Gang Starr album)	18699
Hard_bop	Hard bop	54729
Jazz_fusion	Jazz fusion	120897
Porgy_and_Bess	Porgy and Bess	137173
List_of_rock_albums	List of rock albums	8972
Sonny_Fortune	Sonny Fortune	4398
Jane_Siberry	Jane Siberry	22416
Talk:Music_of_the_United_States	Talk:Music of the United States	467
Robben_Ford	Robben Ford	44750
Don_Cherry_(trumpeter)	Don Cherry (trumpeter)	33833
Cicely_Tyson	Cicely Tyson	543458
Robert_Quine	Robert Quine	24984
3rd_Annual_Grammy_Awards	3rd Annual Grammy Awards	4162
Mitch_Mitchell	Mitch Mitchell	113601
Horace_Silver	Horace Silver	64818
Music_of_Cuba	Music of Cuba	69117
Gene_Ammons	Gene Ammons	14819
Art_Blakey	Art Blakey	59705
Sonny_Rollins	Sonny Rollins	96338
Steven_Van_Zandt	Steven Van Zandt	427075
Rabbit-Proof_Fence_(film)	Rabbit-Proof Fence (film)	107007
Jazz_standard	Jazz standard	52903
Can_(band)	Can (band)	124956
George_Elliott_Clarke	George Elliott Clarke	6273
Avant-garde_jazz	Avant-garde jazz	34505
Mad_Max	Mad Max	1590715
36th_Annual_Grammy_Awards	36th Annual Grammy Awards	9355
39th_Annual_Grammy_Awards	39th Annual Grammy Awards	9617
Billy_Eckstine	Billy Eckstine	40017
Mary_Lou_Williams	Mary Lou Williams	24203
Freddie_Hubbard	Freddie Hubbard	46607
Philly_Joe_Jones	Philly Joe Jones	25551
Tadd_Dameron	Tadd Dameron	11327
Bill_Laswell	Bill Laswell	29794
Jon_Hassell	Jon Hassell	10161
Miami_Vice	Miami Vice	304078
Milt_Jackson	Milt Jackson	23537
Benny_Carter	Benny Carter	20942
Clark_Terry	Clark Terry	59745
Jamie_Cullum	Jamie Cullum	110621
Jonny_Greenwood	Jonny Greenwood	130481
Oscar_Pettiford	Oscar Pettiford	11083
John_Eliot_Gardiner	John Eliot Gardiner	20010
Brock_Peters	Brock Peters	90467
Ring_modulation	Ring modulation	25597
Avant-garde_music	Avant-garde music	69707
Cool_jazz	Cool jazz	57909
Neal_Hefti	Neal Hefti	17969
Latin_jazz	Latin jazz	27490
Wayne_Shorter	Wayne Shorter	75890
Shooby_Taylor	Shooby Taylor	3798
Duane_Allman	Duane Allman	218982
Arthur_Rubinstein	Arthur Rubinstein	73902
Eddie_Vinson	Eddie Vinson	6049
Fear_of_a_Black_Planet	Fear of a Black Planet	61941
Hypocrisy_Is_the_Greatest_Luxury	Hypocrisy Is the Greatest Luxury	3262
Bobby_McFerrin	Bobby McFerrin	149229
Music_of_New_York_City	Music of New York City	25848
Bitches_Brew	Bitches Brew	98711
Chick_Corea	Chick Corea	138974
Music_of_Illinois	Music of Illinois	12494
Joe_Zawinul	Joe Zawinul	40680
Music_of_Ohio	Music of Ohio	27143
Music_of_Missouri	Music of Missouri	4478
Gerry_Mulligan	Gerry Mulligan	48432
Chet_Baker	Chet Baker	221384
Louis_Malle	Louis Malle	98904
Art_Farmer	Art Farmer	14190
Hank_Mobley	Hank Mobley	25243
John_Lewis_(pianist)	John Lewis (pianist)	15217
Wah-wah_pedal	Wah-wah pedal	39268
Roy_Harper	Roy Harper	89827
List_of_film_score_composers	List of film score composers	20671
Sergiu_Celibidache	Sergiu Celibidache	17785
Rafael_Kubel%C3%ADk	Rafael Kubelík	9933
Schizophrenia_(Wayne_Shorter_album)	Schizophrenia (Wayne Shorter album)	4678
Drug_user	Drug user	5189
Mat_Walerian	Mat Walerian	1024
Giants_Stadium	Giants Stadium	114043
Nu_jazz	Nu jazz	42574
Billy_Preston	Billy Preston	175968
Jonas_Hellborg	Jonas Hellborg	13202
Sonny_Sharrock	Sonny Sharrock	12411
John_McLaughlin_(musician)	John McLaughlin (musician)	110248
George_Duke	George Duke	65094
List_of_people_from_Illinois	List of people from Illinois	47762
Trilok_Gurtu	Trilok Gurtu	12473
Gy%C3%B6rgy_Kurt%C3%A1g	György Kurtág	11078
Thomas_Newman	Thomas Newman	165401
Earl_Hines	Earl Hines	32761
35th_Annual_Grammy_Awards	35th Annual Grammy Awards	8246
On_the_Road	On the Road	282011
Claude_Thornhill	Claude Thornhill	6645
Tim_Buckley	Tim Buckley	145057
The_Secret_Policeman%27s_Ball	The Secret Policeman's Ball	11348
Lamborghini_Miura	Lamborghini Miura	174841
St._Louis_Post-Dispatch	St. Louis Post-Dispatch	38430
Fats_Navarro	Fats Navarro	10549
Lucky_Thompson	Lucky Thompson	6798
Delmar_Loop	Delmar Loop	8294
Niki_de_Saint_Phalle	Niki de Saint Phalle	40942
Andrew_Hill	Andrew Hill	14051
Biosphere_(musician)	Biosphere (musician)	14667
Ralph_J._Gleason	Ralph J. Gleason	9772
Pierre_Menard,_Author_of_the_Quixote	Pierre Menard, Author of the Quixote	21062
Pori	Pori	24897
Friedrich_Gulda	Friedrich Gulda	14436
Music_of_Belgium	Music of Belgium	21679
29th_Annual_Grammy_Awards	29th Annual Grammy Awards	5936
Gil_Evans	Gil Evans	30468
Elvin_Jones	Elvin Jones	41345
The_Soft_Parade	The Soft Parade	80288
The_Dish	The Dish	34109
Sofia_Gubaidulina	Sofia Gubaidulina	18064
32nd_Annual_Grammy_Awards	32nd Annual Grammy Awards	8611
Krystian_Zimerman	Krystian Zimerman	34309
African-American_music	African-American music	60837
Wadada_Leo_Smith	Wadada Leo Smith	7863
Bass_clarinet	Bass clarinet	58566
Isle_of_Wight_Festival_1970	Isle of Wight Festival 1970	33720
Isle_of_Wight_Festival	Isle of Wight Festival	34421
Music_of_Scotland	Music of Scotland	29212
Rick_James	Rick James	469363
Gidon_Kremer	Gidon Kremer	18881
Witold_Lutos%C5%82awski	Witold Lutosławski	22441
Extended_technique	Extended technique	14255
Leontyne_Price	Leontyne Price	86695
The_Fillmore	The Fillmore	45147
Talk:Twelve-tone_technique	Talk:Twelve-tone technique	366
How_High_the_Moon	How High the Moon	17633
Grace_Jones	Grace Jones	698922
List_of_people_from_Michigan	List of people from Michigan	46684
Gunther_Schuller	Gunther Schuller	21184
Music_of_the_United_Kingdom_(1970s)	Music of the United Kingdom (1970s)	20376
Ned_Lagin	Ned Lagin	6306
Herb_Alpert	Herb Alpert	195357
Silence	Silence	51035
Gary_Peacock	Gary Peacock	10615
Miroslav_Vitou%C5%A1	Miroslav Vitouš	12296
List_of_jazz_trumpeters	List of jazz trumpeters	27972
Praxis_(band)	Praxis (band)	17091
Michael_Manring	Michael Manring	8929
Shelly_Manne	Shelly Manne	16209
Mahavishnu_Orchestra	Mahavishnu Orchestra	64603
Electro_(music)	Electro (music)	68328
Sorcerer_(film)	Sorcerer (film)	65013
Pleasantville_(film)	Pleasantville (film)	187069
The_Hot_Spot	The Hot Spot	36255
Montreux_Jazz_Festival	Montreux Jazz Festival	31683
Head_Hunters	Head Hunters	32263
46th_Annual_Grammy_Awards	46th Annual Grammy Awards	15217
Dietrich_Fischer-Dieskau	Dietrich Fischer-Dieskau	20730
Janet_Baker	Janet Baker	20168
List_of_double_albums	List of double albums	6591
A_Lump_of_Coal	A Lump of Coal	1653
Wikipedia_talk:Non-free_content/Archive_1	Wikipedia talk:Non-free content/Archive 1	0
Joe_Henderson	Joe Henderson	28562
Stuart_Hall_(cultural_theorist)	Stuart Hall (cultural theorist)	67802
Grammy_Award_for_Best_Historical_Album	Grammy Award for Best Historical Album	4242
Young_Einstein	Young Einstein	20943
Wikipedia_talk:Featured_article_candidates/archive1	Wikipedia talk:Featured article candidates/archive1	0
Yumi_Matsutoya	Yumi Matsutoya	12484
Grammy_Award_for_Best_Album_Notes	Grammy Award for Best Album Notes	5036
Grammy_Award_for_Best_Recording_Package	Grammy Award for Best Recording Package	17079
Wikipedia:Selected_anniversaries/August_17	Wikipedia:Selected anniversaries/August 17	0
Dorian_mode	Dorian mode	65349
Talk:Hard_bop	Talk:Hard bop	143
Somethin%27_Else_(Cannonball_Adderley_album)	Somethin' Else (Cannonball Adderley album)	18326
User:Bth/ToDoFeatured	User:Bth/ToDoFeatured	0
User:Dawidl	User:Dawidl	417
Out_of_Sight	Out of Sight	96718
Toto_(band)	Toto (band)	502512
Scott_LaFaro	Scott LaFaro	18387
Jack_DeJohnette	Jack DeJohnette	25476
Al_Foster	Al Foster	6535
Kenny_Clarke	Kenny Clarke	13407
Sam_Rivers	Sam Rivers	9992
Quintet	Quintet	15664
Cassandra_Wilson	Cassandra Wilson	34793
Jan_Hammer	Jan Hammer	46290
Peter_Sculthorpe	Peter Sculthorpe	10788
Lyle_Mays	Lyle Mays	12948
Post_(Bj%C3%B6rk_album)	Post (Björk album)	53804
Wayne_Coyne	Wayne Coyne	119247
Alan_Rubin	Alan Rubin	24887
Pearls_Before_Swine_(comics)	Pearls Before Swine (comics)	34373
Dolores_O%27Riordan	Dolores O'Riordan	193460
Don_Martin_(cartoonist)	Don Martin (cartoonist)	20262
Grammy_Award_for_Best_Improvised_Jazz_Solo	Grammy Award for Best Improvised Jazz Solo	3082
David_Sanborn	David Sanborn	49811
Orchestra_hit	Orchestra hit	5829
Grammy_Award_for_Best_Large_Jazz_Ensemble_Album	Grammy Award for Best Large Jazz Ensemble Album	5339
The_Mars_Volta	The Mars Volta	216155
Dreams_Come_True_(band)	Dreams Come True (band)	13195
Donald_Fagen	Donald Fagen	131864
Don_Cheadle	Don Cheadle	483139
Jazz_royalty	Jazz royalty	9806
Robert_Christgau	Robert Christgau	115458
Brian_Blade	Brian Blade	21995
Roy_Haynes	Roy Haynes	19978
Percy_Heath	Percy Heath	7803
Spirit_of_Eden	Spirit of Eden	29798
Paul_Chambers	Paul Chambers	30481
Ahmad_Jamal	Ahmad Jamal	49375
Grammy_Award_for_Best_Music_Film	Grammy Award for Best Music Film	8463
Miles_Ahead	Miles Ahead	22513
Al_Haig	Al Haig	5266
Hal_Russell	Hal Russell	1569
Dave_Holland	Dave Holland	23147
Ottmar_Liebert	Ottmar Liebert	18956
A_Bronx_Tale	A Bronx Tale	163287
Bob_Murphy_(musician)	Bob Murphy (musician)	1836
Grammy_Award_for_Best_R%26B_Instrumental_Performance	Grammy Award for Best R&B Instrumental Performance	2079
Miss_Kittin	Miss Kittin	16803
Eric_Ericson	Eric Ericson	8620
Terry_Southern	Terry Southern	43458
Arthur_Russell_(musician)	Arthur Russell (musician)	43932
Frank_T%C3%A9not	Frank Ténot	1119
Return_to_Forever	Return to Forever	45226
U._Srinivas	U. Srinivas	22669
WordPress	WordPress	384019
Spin_(magazine)	Spin (magazine)	39615
George_Kennedy	George Kennedy	235474
Automatic_Man	Automatic Man	4806
Bruce_Hornsby	Bruce Hornsby	151755
Kaija_Saariaho	Kaija Saariaho	15213
User:Inversetime	User:Inversetime	39
List_of_minor_planets_named_after_people	List of minor planets named after people	8393
Cornell_Dupree	Cornell Dupree	9327
User_talk:Fredrik/Archive	User talk:Fredrik/Archive	0
Gary_Bartz	Gary Bartz	12578
Kim_Salmon_and_the_Surrealists	Kim Salmon and the Surrealists	1869
Junkie_XL	Junkie XL	114592
Al_Jarreau	Al Jarreau	90490
Art_Pepper	Art Pepper	30480
Walter_Bishop,_Jr.	Walter Bishop, Jr.	3972
Nomeansno	Nomeansno	22869
Don_Alias	Don Alias	7894
Thomas_Ad%C3%A8s	Thomas Adès	13042
Marilyn_Mazur	Marilyn Mazur	3921
Thomas_Clausen_(musician)	Thomas Clausen (musician)	1356
Ray_Draper	Ray Draper	2710
Red_Garland	Red Garland	22162
Cecil_McBee	Cecil McBee	6798
Cecilia_Bartoli	Cecilia Bartoli	34213
Butch_Warren	Butch Warren	3485
Steve_Davis_(trombonist)	Steve Davis (trombonist)	2836
Michael_Brecker	Michael Brecker	40583
Jean-Luc_Ponty	Jean-Luc Ponty	41216
Jaki_Byard	Jaki Byard	7171
Woody_Shaw	Woody Shaw	14467
Bo_Stief	Bo Stief	1287
Art_Taylor	Art Taylor	8377
Charles_Tolliver	Charles Tolliver	3660
Dead_Calm_(film)	Dead Calm (film)	73122
Speedball_(drug)	Speedball (drug)	177400
Tim_Hagans	Tim Hagans	2326
Webster_Young	Webster Young	1191
User:Ignacio_Icke/Pruebas	User:Ignacio Icke/Pruebas	0
User:Vedranf/LZMK-HOL/D1	User:Vedranf/LZMK-HOL/D1	0
User:Emijrp/Encarta/Composers_and_performers	User:Emijrp/Encarta/Composers and performers	0
Down_Beat	Down Beat	17947
Betty_Davis	Betty Davis	55182
Lydian_mode	Lydian mode	41118
Category:Miles_Davis_albums	Category:Miles Davis albums	1285
Newport_Jazz_Festival	Newport Jazz Festival	22406
After_the_Gold_Rush	After the Gold Rush	81026
Osibisa	Osibisa	28605
Don_Byron	Don Byron	5227
George_Russell_(composer)	George Russell (composer)	14601
Lee_Konitz	Lee Konitz	19388
Lennie_Tristano	Lennie Tristano	21018
Howard_Johnson_(jazz_musician)	Howard Johnson (jazz musician)	4302
Birgit_Nilsson	Birgit Nilsson	18684
Pori_Jazz	Pori Jazz	4200
Trout_Mask_Replica	Trout Mask Replica	67051
Hue_and_Cry	Hue and Cry	18901
User_talk:John_FitzGerald	User talk:John FitzGerald	113
Jimmy_Heath	Jimmy Heath	10836
Jeanne_Moreau	Jeanne Moreau	119967
Unusual_types_of_gramophone_records	Unusual types of gramophone records	26307
Nic_Endo	Nic Endo	10272
Mod_(subculture)	Mod (subculture)	240728
User:Silence	User:Silence	660
Collateral_(film)	Collateral (film)	264446
Joyce_Moreno_(musician)	Joyce Moreno (musician)	4739
Owsley_Stanley	Owsley Stanley	246612
Cure_for_Pain	Cure for Pain	9635
52nd_Street_(Manhattan)	52nd Street (Manhattan)	20898
Sonny_Stitt	Sonny Stitt	23801
Al_McKibbon	Al McKibbon	3671
Warren_Ellis_(musician)	Warren Ellis (musician)	36825
Peter_Schreier	Peter Schreier	6551
Anne-Sophie_Mutter	Anne-Sophie Mutter	43654
Soupy_Sales	Soupy Sales	101988
Minton%27s_Playhouse	Minton's Playhouse	9284
List_of_trumpeters	List of trumpeters	12747
George_Wallington	George Wallington	3104
Frances_the_Mute	Frances the Mute	44673
Jordi_Savall	Jordi Savall	22087
Scrooged	Scrooged	188367
Ivy_(band)	Ivy (band)	15582
Farfisa	Farfisa	27107
Eddie_Harris	Eddie Harris	18581
Grammy_Award_for_Best_Jazz_Fusion_Performance	Grammy Award for Best Jazz Fusion Performance	3182
Grammy_Award_for_Best_Original_Jazz_Composition	Grammy Award for Best Original Jazz Composition	1521
Basquiat_(film)	Basquiat (film)	56983
Cu%C3%ADca	Cuíca	14660
Ravi_Coltrane	Ravi Coltrane	25360
Scritti_Politti	Scritti Politti	45811
Grammy_Award_for_Best_Boxed_or_Special_Limited_Edition_Package	Grammy Award for Best Boxed or Special Limited Edition Package	3946
Incunabula_(album)	Incunabula (album)	9176
Impulse!_Records	Impulse! Records	10672
Warner_Bros._Records	Warner Bros. Records	160280
Tanglewood_Jazz_Festival	Tanglewood Jazz Festival	1412
Quartal_and_quintal_harmony	Quartal and quintal harmony	16461
Australian_jazz	Australian jazz	6767
Greg_Osby	Greg Osby	3631
Eddie_Kramer	Eddie Kramer	21550
David_Geffen_Hall	David Geffen Hall	13740
Talk:Joaqu%C3%ADn_Rodrigo	Talk:Joaquín Rodrigo	179
Talk:Bill_Evans	Talk:Bill Evans	420
St_Germain_(musician)	St Germain (musician)	51905
Portrait_in_Jazz	Portrait in Jazz	11922
Explorations_(Bill_Evans_album)	Explorations (Bill Evans album)	9333
User_talk:Slo	User talk:Slo	3
Giant_Steps	Giant Steps	41914
Sheets_of_sound	Sheets of sound	7481
Grammy_Lifetime_Achievement_Award	Grammy Lifetime Achievement Award	37038
Bobby_Troup	Bobby Troup	86046
Coltrane_changes	Coltrane changes	31178
Chris_Botti	Chris Botti	59518
New_Jazz_Conceptions	New Jazz Conceptions	6155
Maiden_Voyage_(Herbie_Hancock_album)	Maiden Voyage (Herbie Hancock album)	22854
Embryonic	Embryonic	19455
Graham_Fitkin	Graham Fitkin	2856
Rick_Braun	Rick Braun	9850
Paco_de_Luc%C3%ADa	Paco de Lucía	81718
Sunday_at_the_Village_Vanguard	Sunday at the Village Vanguard	15393
Somersault_(film)	Somersault (film)	23108
A_Love_Supreme	A Love Supreme	59419
Pete_Namlook	Pete Namlook	8921
Juliette_Gr%C3%A9co	Juliette Gréco	46628
Tomasz_Sta%C5%84ko	Tomasz Stańko	9294
Toots_Thielemans	Toots Thielemans	29954
Tuxedomoon	Tuxedomoon	19352
Storyville_Records	Storyville Records	1288
Plaza_Hotel	Plaza Hotel	170458
Concierto_de_Aranjuez	Concierto de Aranjuez	53131
Anton_Corbijn	Anton Corbijn	59975
Wikipedia:WikiProject_Albums/Featured_Albums_Project	Wikipedia:WikiProject Albums/Featured Albums Project	0
Jazz_at_Lincoln_Center	Jazz at Lincoln Center	14587
Ted_Curson	Ted Curson	4344
Teo_Macero	Teo Macero	9812
